word,pinyin,english,level,language
先生,xiān sheng,teacher,HSK1,Chinese - Simplified
现在,xiàn zài,now,HSK1,Chinese - Simplified
想,xiǎng,to think,HSK1,Chinese - Simplified
小,xiǎo,small,HSK1,Chinese - Simplified
小姐,xiǎo jie,young lady,HSK1,Chinese - Simplified
些,xiē,some,HSK1,Chinese - Simplified
写,xiě,to write,HSK1,Chinese - Simplified
谢谢,xiè xie,to thank,HSK1,Chinese - Simplified
星期,xīng qī,week,HSK1,Chinese - Simplified
学生,xué sheng,student,HSK1,Chinese - Simplified
学习,xué xí,to learn,HSK1,Chinese - Simplified
学校,xué xiào,school,HSK1,Chinese - Simplified
一,yī,one,HSK1,Chinese - Simplified
衣服,yī fu,clothes,HSK1,Chinese - Simplified
医生,yī shēng,doctor,HSK1,Chinese - Simplified
医院,yī yuàn,hospital,HSK1,Chinese - Simplified
椅子,yǐ zi,chair,HSK1,Chinese - Simplified
有,yǒu,to have,HSK1,Chinese - Simplified
月,yuè,moon,HSK1,Chinese - Simplified
在,zài,(located) at,HSK1,Chinese - Simplified
再见,zài jiàn,goodbye,HSK1,Chinese - Simplified
怎么,zěn me,variant of 怎麼|怎么[zěn me],HSK1,Chinese - Simplified
怎么样,zěn me yàng,how?,HSK1,Chinese - Simplified
这,zhè,this,HSK1,Chinese - Simplified
中国,Zhōng guó,China,HSK1,Chinese - Simplified
中午,zhōng wǔ,noon,HSK1,Chinese - Simplified
住,zhù,to live,HSK1,Chinese - Simplified
桌子,zhuō zi,table,HSK1,Chinese - Simplified
字,zì,letter,HSK1,Chinese - Simplified
昨天,zuó tiān,yesterday,HSK1,Chinese - Simplified
坐,zuò,to sit,HSK1,Chinese - Simplified
做,zuò,to do,HSK1,Chinese - Simplified
